# file...... Voltage_630_seconds.csv
# date...... Sat Sep 02 13:19:34 2017
# user...... Jon
# host...... (null)
# target.... meter 40
# trigger... (none)
# interval.. 10
# limit..... 0
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2016-01-01 00:00:00 PST,+2436.52,-16.3788,-1210.64,-2116.27,-1227.44,+2132.18
2016-01-01 00:00:10 PST,+2436.52,-16.3788,-1210.64,-2116.27,-1227.44,+2132.18
2016-01-01 00:00:20 PST,+2436.52,-16.3788,-1210.64,-2116.27,-1227.44,+2132.18
2016-01-01 00:00:30 PST,+2451.38,-16.5032,-1218.05,-2129.15,-1234.91,+2145.18
2016-01-01 00:00:40 PST,+2451.38,-16.5032,-1218.05,-2129.15,-1234.91,+2145.18
2016-01-01 00:00:50 PST,+2451.38,-16.5032,-1218.04,-2129.16,-1234.91,+2145.18
2016-01-01 00:01:00 PST,+2466.23,-16.6318,-1225.45,-2142.04,-1242.38,+2158.19
2016-01-01 00:01:10 PST,+2466.23,-16.6335,-1225.45,-2142.04,-1242.38,+2158.19
2016-01-01 00:01:20 PST,+2466.23,-16.6328,-1225.45,-2142.04,-1242.38,+2158.19
2016-01-01 00:01:30 PST,+2481.08,-16.7591,-1232.85,-2154.92,-1249.85,+2171.2
2016-01-01 00:01:40 PST,+2481.08,-16.7591,-1232.85,-2154.92,-1249.85,+2171.2
2016-01-01 00:01:50 PST,+2481.08,-16.759,-1232.85,-2154.93,-1249.87,+2171.19
2016-01-01 00:02:00 PST,+2495.93,-16.8885,-1240.23,-2167.85,-1257.34,+2184.2
2016-01-01 00:02:10 PST,+2495.93,-16.8972,-1240.24,-2167.84,-1257.34,+2184.2
2016-01-01 00:02:20 PST,+2495.96,-16.8169,-1240.21,-2167.88,-1257.42,+2184.19
2016-01-01 00:02:30 PST,+2510.83,-16.9266,-1247.61,-2180.78,-1264.9,+2197.2
2016-01-01 00:02:40 PST,+2510.83,-16.9243,-1247.61,-2180.78,-1264.9,+2197.2
2016-01-01 00:02:50 PST,+2510.83,-16.9192,-1247.6,-2180.78,-1264.9,+2197.2
2016-01-01 00:03:00 PST,+2525.68,-17.049,-1255.01,-2193.66,-1272.37,+2210.2
2016-01-01 00:03:10 PST,+2525.68,-17.049,-1255.01,-2193.66,-1272.37,+2210.2
2016-01-01 00:03:20 PST,+2525.68,-17.0471,-1255.01,-2193.66,-1272.37,+2210.2
2016-01-01 00:03:30 PST,+2540.53,-17.173,-1262.42,-2206.54,-1279.84,+2223.21
2016-01-01 00:03:40 PST,+2540.53,-17.173,-1262.42,-2206.54,-1279.84,+2223.21
2016-01-01 00:03:50 PST,+2540.55,-17.0829,-1262.29,-2206.65,-1279.78,+2223.21
2016-01-01 00:04:00 PST,+2555.29,-17.4365,-1269.77,-2219.4,-1279.59,+2223.23
2016-01-01 00:04:10 PST,+2555.18,-17.6581,-1269.84,-2219.26,-1279.42,+2223.25
2016-01-01 00:04:20 PST,+2555.17,-17.6792,-1269.85,-2219.24,-1279.41,+2223.25
2016-01-01 00:04:30 PST,+2570.02,-17.8119,-1277.25,-2232.13,-1279.41,+2223.25
2016-01-01 00:04:40 PST,+2570.04,-17.7242,-1277.25,-2232.13,-1279.41,+2223.25
2016-01-01 00:04:50 PST,+2570.04,-17.7241,-1277.25,-2232.13,-1279.41,+2223.24
2016-01-01 00:05:00 PST,+2570.04,-17.7211,-1277.19,-2232.19,-1279.41,+2223.24
2016-01-01 00:05:10 PST,+2570.06,-17.6273,-1277.18,-2232.19,-1279.41,+2223.24
2016-01-01 00:05:20 PST,+2570.06,-17.6273,-1277.12,-2232.25,-1279.41,+2223.24
2016-01-01 00:05:30 PST,+2570.09,-17.4679,-1277.07,-2232.28,-1279.41,+2223.24
2016-01-01 00:05:40 PST,+2570.1,-17.3552,-1277.08,-2232.26,-1279.33,+2223.25
2016-01-01 00:05:50 PST,+2570.07,-17.4159,-1277.02,-2232.3,-1279.32,+2223.23
2016-01-01 00:06:00 PST,+2570.03,-17.4864,-1276.99,-2232.31,-1279.27,+2223.23
2016-01-01 00:06:10 PST,+2570,-17.5454,-1277,-2232.29,-1279.03,+2223.3
2016-01-01 00:06:20 PST,+2570.01,-17.5374,-1277,-2232.29,-1279.03,+2223.3
2016-01-01 00:06:30 PST,+2570.01,-17.538,-1277.31,-2232,-1279.03,+2223.3
2016-01-01 00:06:40 PST,+2570.03,-17.4538,-1277.31,-2232,-1279.03,+2223.3
2016-01-01 00:06:50 PST,+2570.03,-17.4509,-1277.17,-2232.12,-1279.12,+2223.28
2016-01-01 00:07:00 PST,+2570.03,-17.4485,-1277.17,-2232.13,-1279.12,+2223.27
2016-01-01 00:07:10 PST,+2570.03,-17.4459,-1277.35,-2231.96,-1279.12,+2223.27
2016-01-01 00:07:20 PST,+2570.07,-17.2715,-1277.27,-2232.03,-1279.12,+2223.27
2016-01-01 00:07:30 PST,+2570.07,-17.2685,-1277.27,-2232.03,-1279.12,+2223.27
2016-01-01 00:07:40 PST,+2570.07,-17.2684,-1277.27,-2232.03,-1279.21,+2223.24
2016-01-01 00:07:50 PST,+2570.07,-17.2682,-1277.2,-2232.09,-1279.21,+2223.24
2016-01-01 00:08:00 PST,+2570.07,-17.2682,-1277.2,-2232.09,-1279.3,+2223.21
2016-01-01 00:08:10 PST,+2570.07,-17.2682,-1277.2,-2232.09,-1279.3,+2223.21
