# file...... Voltage_680_seconds.csv
# date...... Sat Sep 02 13:19:34 2017
# user...... Jon
# host...... (null)
# target.... node 43
# trigger... (none)
# interval.. 10
# limit..... 0
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2016-01-01 00:00:00 PST,+2406.93,-58.0251,-1251.53,-2095.54,-1211.26,+2132.93
2016-01-01 00:00:10 PST,+2406.93,-58.0251,-1251.53,-2095.54,-1211.26,+2132.93
2016-01-01 00:00:20 PST,+2406.94,-58.0383,-1251.51,-2095.57,-1211.25,+2132.92
2016-01-01 00:00:30 PST,+2421.77,-58.1531,-1258.98,-2108.37,-1218.69,+2145.96
2016-01-01 00:00:40 PST,+2421.77,-58.153,-1258.98,-2108.37,-1218.69,+2145.96
2016-01-01 00:00:50 PST,+2421.78,-58.1632,-1258.96,-2108.4,-1218.69,+2145.96
2016-01-01 00:01:00 PST,+2436.57,-58.3677,-1266.45,-2121.26,-1226.18,+2158.95
2016-01-01 00:01:10 PST,+2436.53,-58.4008,-1266.47,-2121.28,-1226.23,+2158.93
2016-01-01 00:01:20 PST,+2436.55,-58.4096,-1266.43,-2121.32,-1226.22,+2158.92
2016-01-01 00:01:30 PST,+2451.36,-58.5383,-1273.92,-2134.12,-1233.66,+2171.96
2016-01-01 00:01:40 PST,+2451.36,-58.5383,-1273.92,-2134.12,-1233.66,+2171.96
2016-01-01 00:01:50 PST,+2451.21,-58.5859,-1274.02,-2134.24,-1234.12,+2171.92
2016-01-01 00:02:00 PST,+2466.13,-59.0414,-1281.23,-2147.66,-1241.49,+2184.72
2016-01-01 00:02:10 PST,+2466.02,-59.1215,-1281.32,-2147.56,-1241.44,+2184.71
2016-01-01 00:02:20 PST,+2466.55,-58.0425,-1281.01,-2147.78,-1242.69,+2184.99
2016-01-01 00:02:30 PST,+2481.64,-58.0348,-1288.25,-2160.79,-1250.04,+2198.01
2016-01-01 00:02:40 PST,+2481.64,-58.0034,-1288.25,-2160.79,-1250.09,+2198.01
2016-01-01 00:02:50 PST,+2481.71,-57.9477,-1288.15,-2160.83,-1250.05,+2198.01
2016-01-01 00:03:00 PST,+2496.47,-58.148,-1295.68,-2173.66,-1257.57,+2211.01
2016-01-01 00:03:10 PST,+2496.46,-58.149,-1295.68,-2173.67,-1257.59,+2211.01
2016-01-01 00:03:20 PST,+2496.48,-58.1139,-1295.68,-2173.65,-1257.58,+2211.02
2016-01-01 00:03:30 PST,+2511.28,-58.2209,-1303.19,-2186.41,-1265.06,+2224.07
2016-01-01 00:03:40 PST,+2511.28,-58.2209,-1303.19,-2186.41,-1265.06,+2224.07
2016-01-01 00:03:50 PST,+2513.32,-57.736,-1300.35,-2188.17,-1262.95,+2223.69
2016-01-01 00:04:00 PST,+2526.15,-60.6466,-1309.08,-2200.06,-1261.02,+2223.06
2016-01-01 00:04:10 PST,+2524.55,-63.3151,-1309.83,-2199.34,-1258.86,+2222.39
2016-01-01 00:04:20 PST,+2524.31,-63.5777,-1310,-2199.27,-1258.8,+2222.33
2016-01-01 00:04:30 PST,+2539.12,-63.765,-1317.47,-2212.14,-1258.83,+2222.31
2016-01-01 00:04:40 PST,+2539.74,-62.1905,-1317.18,-2211.41,-1258.55,+2222.92
2016-01-01 00:04:50 PST,+2539.71,-62.194,-1317.21,-2211.41,-1258.63,+2222.91
2016-01-01 00:05:00 PST,+2540.23,-62.7542,-1316.06,-2212.75,-1258.26,+2222.41
2016-01-01 00:05:10 PST,+2540.92,-61.125,-1315.69,-2212.08,-1258,+2223.01
2016-01-01 00:05:20 PST,+2541.14,-61.3882,-1315.15,-2212.7,-1257.83,+2222.79
2016-01-01 00:05:30 PST,+2542.59,-58.8516,-1313.79,-2212.11,-1257.04,+2223.6
2016-01-01 00:05:40 PST,+2543.57,-56.6199,-1313.27,-2210.72,-1255.32,+2224.49
2016-01-01 00:05:50 PST,+2543.28,-58.2986,-1312.59,-2212.39,-1255.22,+2223.24
2016-01-01 00:06:00 PST,+2542.77,-59.3491,-1312.6,-2212.59,-1254.72,+2222.88
2016-01-01 00:06:10 PST,+2543.94,-60.07,-1311.26,-2212.72,-1250.19,+2223.34
2016-01-01 00:06:20 PST,+2544.03,-59.9672,-1311.16,-2212.75,-1250.14,+2223.36
2016-01-01 00:06:30 PST,+2542.42,-57.9104,-1314.9,-2208.08,-1251.3,+2225.09
2016-01-01 00:06:40 PST,+2543.05,-56.438,-1314.56,-2207.46,-1251.01,+2225.64
2016-01-01 00:06:50 PST,+2543.36,-57.6734,-1312.95,-2210.17,-1252.02,+2224.34
2016-01-01 00:07:00 PST,+2543.35,-57.6618,-1312.93,-2210.21,-1252.12,+2224.31
2016-01-01 00:07:10 PST,+2542.04,-55.9644,-1315.94,-2206.52,-1253.07,+2225.72
2016-01-01 00:07:20 PST,+2543.55,-53.1817,-1314.7,-2205.88,-1252.32,+2226.63
2016-01-01 00:07:30 PST,+2543.6,-53.161,-1314.63,-2205.93,-1252.3,+2226.63
2016-01-01 00:07:40 PST,+2542.88,-53.2514,-1315.28,-2205.99,-1254.11,+2226.3
2016-01-01 00:07:50 PST,+2543.35,-53.8262,-1314.21,-2207.27,-1253.79,+2225.81
2016-01-01 00:08:00 PST,+2542.65,-53.9161,-1314.85,-2207.33,-1255.56,+2225.49
2016-01-01 00:08:10 PST,+2542.66,-53.929,-1314.83,-2207.36,-1255.55,+2225.48
2016-01-01 00:08:20 PST,+2545.27,-52.0377,-1312.72,-2206.58,-1250.46,+2226.86
2016-01-01 00:08:30 PST,+2545.36,-51.907,-1312.68,-2206.52,-1250.43,+2226.91
2016-01-01 00:08:40 PST,+2545.32,-50.3873,-1313.01,-2205.84,-1251.85,+2227.22
2016-01-01 00:08:50 PST,+2545.34,-50.3352,-1313,-2205.81,-1251.84,+2227.24
2016-01-01 00:09:00 PST,+2541.54,-67.9967,-1312.41,-2215.17,-1247.54,+2221.12
2016-01-01 00:09:10 PST,+2539.98,-65.0236,-1320.22,-2201.8,-1238.14,+2227.24
