# file...... solar_collector_seconds.csv
# date...... Sat Sep 02 13:19:34 2017
# user...... Jon
# host...... (null)
# group..... class=inverter AND groupid=solar_inverters
# trigger... (none)
# interval.. 10
# limit..... 0
# property.. timestamp,sum(power_A.real),sum(power_B.real),sum(power_C.real)
2016-01-01 00:00:00 PST,+0,+0,+0
2016-01-01 00:00:10 PST,+0,+0,+0
2016-01-01 00:00:20 PST,+0,+0,+0
2016-01-01 00:00:30 PST,+0,+0,+0
2016-01-01 00:00:40 PST,+0,+0,+0
2016-01-01 00:00:50 PST,+0,+0,+0
2016-01-01 00:01:00 PST,+0,+0,+0
2016-01-01 00:01:10 PST,+0,+0,+0
2016-01-01 00:01:20 PST,+0,+0,+0
2016-01-01 00:01:30 PST,+0,+0,+0
2016-01-01 00:01:40 PST,+0,+0,+0
2016-01-01 00:01:50 PST,+0,+0,+0
2016-01-01 00:02:00 PST,+0,+0,+0
2016-01-01 00:02:10 PST,+0,+0,+0
2016-01-01 00:02:20 PST,+0,+0,+0
2016-01-01 00:02:30 PST,+0,+0,+0
2016-01-01 00:02:40 PST,+0,+0,+0
2016-01-01 00:02:50 PST,+0,+0,+0
2016-01-01 00:03:00 PST,+0,+0,+0
2016-01-01 00:03:10 PST,+0,+0,+0
2016-01-01 00:03:20 PST,+0,+0,+0
2016-01-01 00:03:30 PST,+0,+0,+0
2016-01-01 00:03:40 PST,+0,+0,+0
2016-01-01 00:03:50 PST,+0,+0,+0
2016-01-01 00:04:00 PST,+0,+0,+0
2016-01-01 00:04:10 PST,+0,+0,+0
2016-01-01 00:04:20 PST,+0,+0,+0
2016-01-01 00:04:30 PST,+0,+0,+0
2016-01-01 00:04:40 PST,+0,+0,+0
2016-01-01 00:04:50 PST,+0,+0,+0
2016-01-01 00:05:00 PST,+0,+0,+0
2016-01-01 00:05:10 PST,+0,+0,+0
2016-01-01 00:05:20 PST,+0,+0,+0
2016-01-01 00:05:30 PST,+0,+0,+0
2016-01-01 00:05:40 PST,+0,+0,+0
2016-01-01 00:05:50 PST,+0,+0,+0
2016-01-01 00:06:00 PST,+0,+0,+0
2016-01-01 00:06:10 PST,+0,+0,+0
2016-01-01 00:06:20 PST,+0,+0,+0
2016-01-01 00:06:30 PST,+0,+0,+0
2016-01-01 00:06:40 PST,+0,+0,+0
2016-01-01 00:06:50 PST,+0,+0,+0
2016-01-01 00:07:00 PST,+0,+0,+0
2016-01-01 00:07:10 PST,+0,+0,+0
2016-01-01 00:07:20 PST,+0,+0,+0
2016-01-01 00:07:30 PST,+0,+0,+0
2016-01-01 00:07:40 PST,+0,+0,+0
2016-01-01 00:07:50 PST,+0,+0,+0
2016-01-01 00:08:00 PST,+0,+0,+0
2016-01-01 00:08:10 PST,+0,+0,+0
2016-01-01 00:08:20 PST,+0,+0,+0
2016-01-01 00:08:30 PST,+0,+0,+0
2016-01-01 00:08:40 PST,+0,+0,+0
2016-01-01 00:08:50 PST,+0,+0,+0
2016-01-01 00:09:00 PST,+0,+0,+0
2016-01-01 00:09:10 PST,+0,+0,+0
2016-01-01 00:09:20 PST,+0,+0,+0
2016-01-01 00:09:30 PST,+0,+0,+0
2016-01-01 00:09:40 PST,+0,+0,+0
2016-01-01 00:09:50 PST,+0,+0,+0
2016-01-01 00:10:00 PST,+0,+0,+0
2016-01-01 00:10:10 PST,+0,+0,+0
2016-01-01 00:10:20 PST,+0,+0,+0
2016-01-01 00:10:30 PST,+0,+0,+0
2016-01-01 00:10:40 PST,+0,+0,+0
2016-01-01 00:10:50 PST,+0,+0,+0
2016-01-01 00:11:00 PST,+0,+0,+0
2016-01-01 00:11:10 PST,+0,+0,+0
2016-01-01 00:11:20 PST,+0,+0,+0
2016-01-01 00:11:30 PST,+0,+0,+0
2016-01-01 00:11:40 PST,+0,+0,+0
2016-01-01 00:11:50 PST,+0,+0,+0
2016-01-01 00:12:00 PST,+0,+0,+0
2016-01-01 00:12:10 PST,+0,+0,+0
2016-01-01 00:12:20 PST,+0,+0,+0
2016-01-01 00:12:30 PST,+0,+0,+0
2016-01-01 00:12:40 PST,+0,+0,+0
2016-01-01 00:12:50 PST,+0,+0,+0
2016-01-01 00:13:00 PST,+0,+0,+0
2016-01-01 00:13:10 PST,+0,+0,+0
2016-01-01 00:13:20 PST,+0,+0,+0
2016-01-01 00:13:30 PST,+0,+0,+0
2016-01-01 00:13:40 PST,+0,+0,+0
2016-01-01 00:13:50 PST,+0,+0,+0
2016-01-01 00:14:00 PST,+0,+0,+0
2016-01-01 00:14:10 PST,+0,+0,+0
2016-01-01 00:14:20 PST,+0,+0,+0
2016-01-01 00:14:30 PST,+0,+0,+0
2016-01-01 00:14:40 PST,+0,+0,+0
2016-01-01 00:14:50 PST,+0,+0,+0
2016-01-01 00:15:00 PST,+0,+0,+0
2016-01-01 00:15:10 PST,+0,+0,+0
2016-01-01 00:15:20 PST,+0,+0,+0
2016-01-01 00:15:30 PST,+0,+0,+0
2016-01-01 00:15:40 PST,+0,+0,+0
2016-01-01 00:15:50 PST,+0,+0,+0
2016-01-01 00:16:00 PST,+0,+0,+0
2016-01-01 00:16:10 PST,+0,+0,+0
2016-01-01 00:16:20 PST,+0,+0,+0
2016-01-01 00:16:30 PST,+0,+0,+0
2016-01-01 00:16:40 PST,+0,+0,+0
2016-01-01 00:16:50 PST,+0,+0,+0
2016-01-01 00:17:00 PST,+0,+0,+0
2016-01-01 00:17:10 PST,+0,+0,+0
2016-01-01 00:17:20 PST,+0,+0,+0
2016-01-01 00:17:30 PST,+0,+0,+0
2016-01-01 00:17:40 PST,+0,+0,+0
2016-01-01 00:17:50 PST,+0,+0,+0
2016-01-01 00:18:00 PST,+0,+0,+0
2016-01-01 00:18:10 PST,+0,+0,+0
2016-01-01 00:18:20 PST,+0,+0,+0
2016-01-01 00:18:30 PST,+0,+0,+0
2016-01-01 00:18:40 PST,+0,+0,+0
2016-01-01 00:18:50 PST,+0,+0,+0
2016-01-01 00:19:00 PST,+0,+0,+0
2016-01-01 00:19:10 PST,+0,+0,+0
2016-01-01 00:19:20 PST,+0,+0,+0
2016-01-01 00:19:30 PST,+0,+0,+0
2016-01-01 00:19:40 PST,+0,+0,+0
2016-01-01 00:19:50 PST,+0,+0,+0
2016-01-01 00:20:00 PST,+0,+0,+0
2016-01-01 00:20:10 PST,+0,+0,+0
2016-01-01 00:20:20 PST,+0,+0,+0
2016-01-01 00:20:30 PST,+0,+0,+0
2016-01-01 00:20:40 PST,+0,+0,+0
2016-01-01 00:20:50 PST,+0,+0,+0
2016-01-01 00:21:00 PST,+0,+0,+0
2016-01-01 00:21:10 PST,+0,+0,+0
2016-01-01 00:21:20 PST,+0,+0,+0
2016-01-01 00:21:30 PST,+0,+0,+0
2016-01-01 00:21:40 PST,+0,+0,+0
2016-01-01 00:21:50 PST,+0,+0,+0
2016-01-01 00:22:00 PST,+0,+0,+0
2016-01-01 00:22:10 PST,+0,+0,+0
2016-01-01 00:22:20 PST,+0,+0,+0
2016-01-01 00:22:30 PST,+0,+0,+0
2016-01-01 00:22:40 PST,+0,+0,+0
2016-01-01 00:22:50 PST,+0,+0,+0
2016-01-01 00:23:00 PST,+0,+0,+0
2016-01-01 00:23:10 PST,+0,+0,+0
2016-01-01 00:23:20 PST,+0,+0,+0
2016-01-01 00:23:30 PST,+0,+0,+0
2016-01-01 00:23:40 PST,+0,+0,+0
2016-01-01 00:23:50 PST,+0,+0,+0
2016-01-01 00:24:00 PST,+0,+0,+0
2016-01-01 00:24:10 PST,+0,+0,+0
2016-01-01 00:24:20 PST,+0,+0,+0
2016-01-01 00:24:30 PST,+0,+0,+0
2016-01-01 00:24:40 PST,+0,+0,+0
2016-01-01 00:24:50 PST,+0,+0,+0
2016-01-01 00:25:00 PST,+0,+0,+0
2016-01-01 00:25:10 PST,+0,+0,+0
2016-01-01 00:25:20 PST,+0,+0,+0
2016-01-01 00:25:30 PST,+0,+0,+0
2016-01-01 00:25:40 PST,+0,+0,+0
2016-01-01 00:25:50 PST,+0,+0,+0
2016-01-01 00:26:00 PST,+0,+0,+0
2016-01-01 00:26:10 PST,+0,+0,+0
2016-01-01 00:26:20 PST,+0,+0,+0
2016-01-01 00:26:30 PST,+0,+0,+0
2016-01-01 00:26:40 PST,+0,+0,+0
2016-01-01 00:26:50 PST,+0,+0,+0
2016-01-01 00:27:00 PST,+0,+0,+0
2016-01-01 00:27:10 PST,+0,+0,+0
2016-01-01 00:27:20 PST,+0,+0,+0
2016-01-01 00:27:30 PST,+0,+0,+0
2016-01-01 00:27:40 PST,+0,+0,+0
2016-01-01 00:27:50 PST,+0,+0,+0
2016-01-01 00:28:00 PST,+0,+0,+0
2016-01-01 00:28:10 PST,+0,+0,+0
2016-01-01 00:28:20 PST,+0,+0,+0
2016-01-01 00:28:30 PST,+0,+0,+0
2016-01-01 00:28:40 PST,+0,+0,+0
2016-01-01 00:28:50 PST,+0,+0,+0
2016-01-01 00:29:00 PST,+0,+0,+0
2016-01-01 00:29:10 PST,+0,+0,+0
2016-01-01 00:29:20 PST,+0,+0,+0
2016-01-01 00:29:30 PST,+0,+0,+0
2016-01-01 00:29:40 PST,+0,+0,+0
2016-01-01 00:29:50 PST,+0,+0,+0
2016-01-01 00:30:00 PST,+0,+0,+0
2016-01-01 00:30:10 PST,+0,+0,+0
2016-01-01 00:30:20 PST,+0,+0,+0
2016-01-01 00:30:30 PST,+0,+0,+0
2016-01-01 00:30:40 PST,+0,+0,+0
2016-01-01 00:30:50 PST,+0,+0,+0
2016-01-01 00:31:00 PST,+0,+0,+0
2016-01-01 00:31:10 PST,+0,+0,+0
2016-01-01 00:31:20 PST,+0,+0,+0
2016-01-01 00:31:30 PST,+0,+0,+0
2016-01-01 00:31:40 PST,+0,+0,+0
2016-01-01 00:31:50 PST,+0,+0,+0
2016-01-01 00:32:00 PST,+0,+0,+0
2016-01-01 00:32:10 PST,+0,+0,+0
2016-01-01 00:32:20 PST,+0,+0,+0
2016-01-01 00:32:30 PST,+0,+0,+0
2016-01-01 00:32:40 PST,+0,+0,+0
2016-01-01 00:32:50 PST,+0,+0,+0
2016-01-01 00:33:00 PST,+0,+0,+0
2016-01-01 00:33:10 PST,+0,+0,+0
2016-01-01 00:33:20 PST,+0,+0,+0
2016-01-01 00:33:30 PST,+0,+0,+0
2016-01-01 00:33:40 PST,+0,+0,+0
2016-01-01 00:33:50 PST,+0,+0,+0
2016-01-01 00:34:00 PST,+0,+0,+0
2016-01-01 00:34:10 PST,+0,+0,+0
2016-01-01 00:34:20 PST,+0,+0,+0
2016-01-01 00:34:30 PST,+0,+0,+0
2016-01-01 00:34:40 PST,+0,+0,+0
2016-01-01 00:34:50 PST,+0,+0,+0
2016-01-01 00:35:00 PST,+0,+0,+0
2016-01-01 00:35:10 PST,+0,+0,+0
2016-01-01 00:35:20 PST,+0,+0,+0
2016-01-01 00:35:30 PST,+0,+0,+0
2016-01-01 00:35:40 PST,+0,+0,+0
2016-01-01 00:35:50 PST,+0,+0,+0
2016-01-01 00:36:00 PST,+0,+0,+0
2016-01-01 00:36:10 PST,+0,+0,+0
2016-01-01 00:36:20 PST,+0,+0,+0
2016-01-01 00:36:30 PST,+0,+0,+0
2016-01-01 00:36:40 PST,+0,+0,+0
2016-01-01 00:36:50 PST,+0,+0,+0
2016-01-01 00:37:00 PST,+0,+0,+0
2016-01-01 00:37:10 PST,+0,+0,+0
2016-01-01 00:37:20 PST,+0,+0,+0
2016-01-01 00:37:30 PST,+0,+0,+0
2016-01-01 00:37:40 PST,+0,+0,+0
2016-01-01 00:37:50 PST,+0,+0,+0
2016-01-01 00:38:00 PST,+0,+0,+0
2016-01-01 00:38:10 PST,+0,+0,+0
2016-01-01 00:38:20 PST,+0,+0,+0
2016-01-01 00:38:30 PST,+0,+0,+0
2016-01-01 00:38:40 PST,+0,+0,+0
2016-01-01 00:38:50 PST,+0,+0,+0
2016-01-01 00:39:00 PST,+0,+0,+0
2016-01-01 00:39:10 PST,+0,+0,+0
2016-01-01 00:39:20 PST,+0,+0,+0
2016-01-01 00:39:30 PST,+0,+0,+0
2016-01-01 00:39:40 PST,+0,+0,+0
2016-01-01 00:39:50 PST,+0,+0,+0
2016-01-01 00:40:00 PST,+0,+0,+0
2016-01-01 00:40:10 PST,+0,+0,+0
2016-01-01 00:40:20 PST,+0,+0,+0
2016-01-01 00:40:30 PST,+0,+0,+0
2016-01-01 00:40:40 PST,+0,+0,+0
2016-01-01 00:40:50 PST,+0,+0,+0
2016-01-01 00:41:00 PST,+0,+0,+0
2016-01-01 00:41:10 PST,+0,+0,+0
2016-01-01 00:41:20 PST,+0,+0,+0
2016-01-01 00:41:30 PST,+0,+0,+0
2016-01-01 00:41:40 PST,+0,+0,+0
2016-01-01 00:41:50 PST,+0,+0,+0
2016-01-01 00:42:00 PST,+0,+0,+0
2016-01-01 00:42:10 PST,+0,+0,+0
