# file...... transformer_power_seconds.csv
# date...... Sat Sep 02 13:19:34 2017
# user...... Jon
# host...... (null)
# target.... transformer 27
# trigger... (none)
# interval.. 10
# limit..... 0
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2016-01-01 00:00:00 PST,+226504,+3831.53,+183525,+30644,+183824,-23713.8
2016-01-01 00:00:10 PST,+226504,+3831.54,+183525,+30644,+183824,-23713.8
2016-01-01 00:00:20 PST,+226449,+3859.86,+183473,+30610.4,+183825,-23713.3
2016-01-01 00:00:30 PST,+228067,+3781.62,+184884,+30851.3,+185076,-23838.7
2016-01-01 00:00:40 PST,+228067,+3781.64,+184884,+30851.3,+185076,-23838.7
2016-01-01 00:00:50 PST,+227984,+3827.14,+184802,+30800.9,+185076,-23838.3
2016-01-01 00:01:00 PST,+229708,+3826.66,+186137,+31074.1,+186383,-24067.4
2016-01-01 00:01:10 PST,+229751,+3876.43,+186046,+31125,+186360,-24133.5
2016-01-01 00:01:20 PST,+229639,+3912.17,+185957,+31068.5,+186339,-24121.6
2016-01-01 00:01:30 PST,+231377,+3813.76,+187454,+31357,+187635,-24265.5
2016-01-01 00:01:40 PST,+231377,+3813.78,+187454,+31357,+187635,-24265.5
2016-01-01 00:01:50 PST,+231130,+3880.85,+186513,+31398.7,+187062,-24806.2
2016-01-01 00:02:00 PST,+231618,+4182.2,+187038,+30681.6,+188459,-24987.2
2016-01-01 00:02:10 PST,+232223,+4338.87,+187503,+30933.1,+188920,-24913.2
2016-01-01 00:02:20 PST,+228565,+2629.72,+183372,+30560.4,+183810,-26317.1
2016-01-01 00:02:30 PST,+229255,+2229.04,+184319,+30407.6,+184413,-26386.9
2016-01-01 00:02:40 PST,+229156,+2206.55,+184203,+30431.9,+184264,-26399.3
2016-01-01 00:02:50 PST,+228836,+2203.96,+184035,+30326.4,+184106,-26316.4
2016-01-01 00:03:00 PST,+230609,+2191.53,+185369,+30642.1,+185391,-26574.2
2016-01-01 00:03:10 PST,+230609,+2191.75,+185337,+30660,+185359,-26593.2
2016-01-01 00:03:20 PST,+230555,+2157.26,+185337,+30660.2,+185301,-26563.4
2016-01-01 00:03:30 PST,+232322,+2028.94,+186785,+31042.8,+186480,-26742.4
2016-01-01 00:03:40 PST,+232322,+2028.96,+186785,+31042.8,+186480,-26742.4
2016-01-01 00:03:50 PST,+224990,+3060.17,+183921,+27727.1,+185094,-23886
2016-01-01 00:04:00 PST,+237153,+8446.02,+193875,+30663.3,+198466,-21793.2
2016-01-01 00:04:10 PST,+247927,+13688,+202799,+33515.1,+210562,-19480.2
2016-01-01 00:04:20 PST,+249018,+14138,+203533,+33865,+211578,-19403.4
2016-01-01 00:04:30 PST,+250673,+14198.4,+204348,+34353.6,+212458,-19882.7
2016-01-01 00:04:40 PST,+248237,+12615.6,+204347,+34369.5,+209808,-18533.8
2016-01-01 00:04:50 PST,+248237,+12616.6,+204232,+34431.9,+209698,-18602
2016-01-01 00:05:00 PST,+245482,+13964.5,+201666,+32785.8,+209626,-18527.4
2016-01-01 00:05:10 PST,+242667,+12391.9,+201364,+32723.6,+206709,-17139.1
2016-01-01 00:05:20 PST,+240318,+13703.8,+199022,+31320,+206716,-17126.9
2016-01-01 00:05:30 PST,+234282,+12184.3,+197261,+30575.1,+202068,-14473.8
2016-01-01 00:05:40 PST,+231844,+10480.1,+200500,+30623.3,+200900,-10365.9
2016-01-01 00:05:50 PST,+231271,+13418.1,+198910,+30115.3,+202844,-9994.03
2016-01-01 00:06:00 PST,+232411,+16231.1,+199121,+29718.1,+206354,-9583.16
2016-01-01 00:06:10 PST,+234618,+17529.6,+207204,+26446.9,+215488,-5510.21
2016-01-01 00:06:20 PST,+234218,+17479.6,+207033,+26339.6,+215248,-5384.67
2016-01-01 00:06:30 PST,+246754,+11126.1,+218932,+34147.6,+215215,-5479.88
2016-01-01 00:06:40 PST,+244215,+9725.88,+218738,+34044.1,+212682,-4173.8
2016-01-01 00:06:50 PST,+238935,+12454.9,+211044,+32281.8,+210082,-5664.56
2016-01-01 00:07:00 PST,+238754,+12473.7,+210748,+32311.1,+209833,-5736.2
2016-01-01 00:07:10 PST,+245815,+8733.31,+217564,+36727.6,+209713,-5765.06
2016-01-01 00:07:20 PST,+238053,+7211.23,+214694,+35005,+204476,-3038.87
2016-01-01 00:07:30 PST,+237781,+7258.91,+214510,+34890.4,+204388,-2991.15
2016-01-01 00:07:40 PST,+237793,+7285.38,+211725,+36395.5,+201725,-4645.62
2016-01-01 00:07:50 PST,+235288,+8605.32,+209277,+34880.1,+201701,-4639.17
2016-01-01 00:08:00 PST,+235301,+8631.26,+206553,+36357.5,+199092,-6255.65
2016-01-01 00:08:10 PST,+235244,+8661.02,+206498,+36323,+199092,-6255.05
2016-01-01 00:08:20 PST,+232149,+6915.6,+213598,+32330.7,+202976,-267.516
