YEAR,MO,DY,swv_dwn,avg_kt,clr_sky,TSKIN
1983,1,1,,,,4.7
1983,1,2,,,,3.51
1983,1,3,,,,4.17
1983,1,4,,,,5.07
1983,1,5,,,,4.67
1983,1,6,,,,4.43
1983,1,7,,,,3.13
1983,1,8,,,,0.24
1983,1,9,,,,0.62
1983,1,10,,,,0.77
1983,1,11,,,,1.37
1983,1,12,,,,1.71
1983,1,13,,,,1.47
1983,1,14,,,,1.86
1983,1,15,,,,3.22
1983,1,16,,,,4.61
1983,1,17,,,,2.94
1983,1,18,,,,1.77
1983,1,19,,,,0.02
1983,1,20,,,,0.38
1983,1,21,,,,0.58
1983,1,22,,,,0.8
1983,1,23,,,,1.92
1983,1,24,,,,2.85
1983,1,25,,,,3.99
1983,1,26,,,,4.56
1983,1,27,,,,5.81
1983,1,28,,,,7
1983,1,29,,,,7.7
1983,1,30,,,,3.21
1983,1,31,,,,4.03
1983,2,1,,,,4.06
1983,2,2,,,,2.66
1983,2,3,,,,2.62
1983,2,4,,,,3.42
1983,2,5,,,,5.25
1983,2,6,,,,2.46
1983,2,7,,,,2.05
1983,2,8,,,,2.2
1983,2,9,,,,1.79
1983,2,10,,,,2.89
1983,2,11,,,,2.89
1983,2,12,,,,2.75
1983,2,13,,,,3.9
1983,2,14,,,,4.45
1983,2,15,,,,4.5
1983,2,16,,,,4.86
1983,2,17,,,,1.33
1983,2,18,,,,0.45
1983,2,19,,,,0.93
1983,2,20,,,,0.42
1983,2,21,,,,1.06
1983,2,22,,,,3.66
1983,2,23,,,,2.87
1983,2,24,,,,2.74
1983,2,25,,,,4.85
1983,2,26,,,,6.45
1983,2,27,,,,7.34
1983,2,28,,,,7.34
1983,3,1,,,,5.04
1983,3,2,,,,4.69
1983,3,3,,,,4.82
1983,3,4,,,,2.69
1983,3,5,,,,4.7
1983,3,6,,,,6.27
1983,3,7,,,,4.51
1983,3,8,,,,5.25
1983,3,9,,,,6.55
1983,3,10,,,,9.25
1983,3,11,,,,9.72
1983,3,12,,,,8.49
1983,3,13,,,,3.61
1983,3,14,,,,5.36
1983,3,15,,,,8.55
1983,3,16,,,,7.27
1983,3,17,,,,5.07
1983,3,18,,,,7.88
1983,3,19,,,,10.66
1983,3,20,,,,11.88
1983,3,21,,,,11.28
1983,3,22,,,,8.74
1983,3,23,,,,7.21
1983,3,24,,,,6.94
1983,3,25,,,,8.05
1983,3,26,,,,8.98
1983,3,27,,,,9.97
1983,3,28,,,,10.79
1983,3,29,,,,11.32
1983,3,30,,,,12.1
1983,3,31,,,,11.58
1983,4,1,,,,13.92
1983,4,2,,,,12.02
1983,4,3,,,,11.86
1983,4,4,,,,12.76
1983,4,5,,,,16.55
1983,4,6,,,,16.87
1983,4,7,,,,15.59
1983,4,8,,,,15.51
1983,4,9,,,,11.86
1983,4,10,,,,13.21
1983,4,11,,,,15.07
1983,4,12,,,,15.09
1983,4,13,,,,11.26
1983,4,14,,,,12.2
1983,4,15,,,,12.46
1983,4,16,,,,14.13
1983,4,17,,,,15.12
1983,4,18,,,,14.4
1983,4,19,,,,15.17
1983,4,20,,,,15.5
