# file...... House_log.csv
# date...... Fri Sep 01 13:18:06 2017
# user...... Jon
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,house_N8:total_load,house_N13:total_load,house_N15:total_load,house_N16:total_load,house_N8:air_temperature,house_N13:air_temperature,house_N15:air_temperature,house_N16:air_temperature,house_N8:outdoor_temperature,house_N13:outdoor_temperature,house_N15:outdoor_temperature,house_N16:outdoor_temperature
2000-07-17 00:00:00 PDT,+0.0851429,+0.0651867,+0.0851429,+0.0731663,+70,+70,+70,+70,+60.982,+60.982,+60.982,+60.982
2000-07-17 00:01:00 PDT,+0.0851429,+0.0851429,+0.0851429,+0.0731663,+69.9391,+69.9377,+69.9394,+69.9394,+60.982,+60.982,+60.982,+60.982
2000-07-17 00:02:00 PDT,+0.0851429,+0.0851429,+0.0851429,+0.0691759,+69.8872,+69.8849,+69.8875,+69.8875,+60.982,+60.982,+60.982,+60.982
2000-07-17 00:03:00 PDT,+0.0851429,+0.0851429,+0.0851429,+0.0691759,+69.8425,+69.8399,+69.8429,+69.8426,+60.982,+60.982,+60.982,+60.982
2000-07-17 00:04:00 PDT,+0.0851429,+0.0851429,+0.0851429,+0.0691759,+69.8038,+69.8012,+69.8043,+69.8036,+60.982,+60.982,+60.982,+60.982
2000-07-17 00:05:00 PDT,+0.0851429,+0.0851429,+0.0851429,+0.0691759,+69.77,+69.7675,+69.7704,+69.7694,+60.982,+60.982,+60.982,+60.982
2000-07-17 00:06:00 PDT,+0.0851429,+0.0731663,+0.0731663,+0.0691759,+69.7402,+69.738,+69.7406,+69.7392,+60.982,+60.982,+60.982,+60.982
2000-07-17 00:07:00 PDT,+0.0851429,+0.0731663,+0.0731663,+0.0691759,+69.7137,+69.7114,+69.7137,+69.7123,+60.982,+60.982,+60.982,+60.982
2000-07-17 00:08:00 PDT,+0.0851429,+0.0731663,+0.0731663,+0.0691759,+69.6898,+69.6875,+69.6895,+69.688,+60.982,+60.982,+60.982,+60.982
2000-07-17 00:09:00 PDT,+0.0851429,+0.0731663,+0.0731663,+0.0691759,+69.6682,+69.6658,+69.6675,+69.666,+60.982,+60.982,+60.982,+60.982
2000-07-17 00:10:00 PDT,+0.0851429,+0.0731663,+0.0731663,+0.0691759,+69.6484,+69.646,+69.6474,+69.6458,+60.982,+60.982,+60.982,+60.982
2000-07-17 00:11:00 PDT,+0.0851429,+0.0731663,+0.0731663,+0.0691759,+69.63,+69.6276,+69.6287,+69.6272,+60.982,+60.982,+60.982,+60.982
