hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 1.18531, -6.78539E-005, 1.28272, 3.18502E-005, 1.1709, -3.17692E-005, 0, 0
2, 0.00000, 1.19421, -3.4445E-005, 1.26038, 7.55415E-006, 1.19403, -1.92364E-005, 0, 0
3, 0.00000, 1.19885, 1.48351E-005, 1.25567, -1.28649E-005, 1.20344, 1.57998E-005, 0, 0
4, 0.00000, 1.19662, -3.75722E-006, 1.24989, -7.24119E-005, 1.20342, -5.64225E-006, 0, 0
5, 0.00000, 1.17447, -4.13222E-006, 1.25101, 3.83951E-006, 1.17038, -5.3317E-006, 0, 0
6, 0.00000, 1.14642, 1.16415E-005, 1.25999, -8.27051E-006, 1.11828, 8.72711E-006, 0, 0
7, 0.00000, 1.13488, -1.46297E-005, 1.28389, 4.09664E-005, 1.09336, 2.1352E-006, 0, 0
8, 0.00000, 1.12346, -1.55498E-005, 1.24305, -9.03853E-006, 1.09773, 9.87153E-006, 0, 0
9, 0.00000, 1.10471, 3.96142E-005, 1.25482, 6.03653E-006, 1.07007, 2.66846E-005, 0, 0
10, 0.00000, 1.10329, -2.1868E-005, 1.25513, 8.46801E-007, 1.06788, -1.63771E-005, 0, 0
11, 0.00000, 1.0948, 4.54382E-005, 1.25443, 1.30278E-005, 1.05124, -1.15756E-005, 0, 0
12, 0.00000, 1.09163, -4.70681E-005, 1.25347, -2.53218E-005, 1.04784, 5.06444E-006, 0, 0
13, 0.00000, 1.12297, 8.37842E-005, 1.28769, 5.58177E-006, 1.07349, 3.41296E-005, 0, 0
14, 0.00000, 1.12942, 1.99018E-005, 1.27332, -9.89426E-006, 1.08975, 2.22774E-005, 0, 0
15, 0.00000, 1.11442, -4.09887E-005, 1.2558, -2.6119E-006, 1.07715, -2.65047E-005, 0, 0
16, 0.00000, 1.1214, 1.90987E-005, 1.26124, -4.99901E-007, 1.08439, 1.36104E-005, 0, 0
17, 0.00000, -93.3297, 0.00398381, -93.3341, 0.00036664, -93.3278, 0.00203538, 0, 0
18, 0.00000, -105.007, -0.00548974, -105.002, -0.00550921, -105.005, -0.000762005, 0, 0
19, 0.00000, -109.661, 0.00305026, -109.668, 0.0016223, -109.667, -0.00156202, 0, 0
20, 0.00000, -116.664, 0.00385747, -116.668, -0.00121307, -116.665, 0.000191833, 0, 0
21, 0.00000, -109.669, -0.00251093, -109.665, -0.000277208, -109.67, -0.000154879, 0, 0
22, 0.00000, 1.14171, 2.4148E-005, 1.3453, -4.10577E-005, 1.08251, -2.07986E-006, 0, 0
23, 0.00000, 1.16734, -2.06916E-005, 1.32855, 4.03152E-005, 1.10724, -5.80506E-005, 0, 0
24, 0.00000, 1.18281, -1.0412E-005, 1.30242, 8.52086E-006, 1.15234, -9.46686E-006, 0, 0
