hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 2420.88, -3.10895, 2518.44, -120.96, 2406.04, 117.751, 0, 0, 0.489622, -3.10567, 0.509332, -120.961, 0.486651, 117.752, 0.0326165, 90.4637
2, 0.00000, 2429.95, -2.37405, 2496.39, -120.881, 2429.74, 118.091, 0, 0, 0.491455, -2.3724, 0.504881, -120.882, 0.491424, 118.092, 0.0201202, 91.3954
3, 0.00000, 2434.67, -2.17702, 2491.7, -120.926, 2439.37, 118.143, 0, 0, 0.492406, -2.17772, 0.503941, -120.925, 0.493342, 118.143, 0.0159975, 91.3229
4, 0.00000, 2432.34, -2.15555, 2485.92, -121.048, 2439.33, 118.079, 0, 0, 0.491962, -2.15537, 0.502788, -121.045, 0.493342, 118.079, 0.0139995, 90.4372
5, 0.00000, 2409.8, -2.78912, 2487.08, -121.211, 2405.59, 117.727, 0, 0, 0.487373, -2.78892, 0.503003, -121.211, 0.486526, 117.727, 0.0232576, 89.4624
6, 0.00000, 2380.85, -4.09133, 2495.98, -121.411, 2351.46, 117.083, 0, 0, 0.481519, -4.09191, 0.504806, -121.411, 0.475567, 117.083, 0.041773, 90.94
7, 0.00000, 2368.85, -5.06591, 2519.59, -121.857, 2325.08, 116.432, 0, 0, 0.479086, -5.06517, 0.509562, -121.859, 0.470246, 116.432, 0.0540185, 88.8628
8, 0.00000, 2356.86, -4.8261, 2479.16, -122.633, 2329.73, 116.062, 0, 0, 0.476677, -4.82531, 0.501399, -122.633, 0.471182, 116.061, 0.0391464, 86.4875
9, 0.00000, 2337.17, -5.96779, 2490.87, -123.65, 2300.26, 115, 0, 0, 0.47267, -5.96985, 0.50377, -123.651, 0.465196, 114.998, 0.0472354, 83.1495
10, 0.00000, 2335.61, -6.01353, 2491.18, -123.656, 2297.81, 114.978, 0, 0, 0.472376, -6.01239, 0.503831, -123.656, 0.464739, 114.979, 0.0479278, 83.1646
11, 0.00000, 2326.68, -6.58466, 2490.45, -123.845, 2279.88, 114.663, 0, 0, 0.470541, -6.58704, 0.503694, -123.846, 0.461093, 114.664, 0.0535699, 84.0938
12, 0.00000, 2323.19, -6.6547, 2489.54, -123.889, 2276.15, 114.62, 0, 0, 0.469886, -6.65223, 0.503497, -123.888, 0.460354, 114.62, 0.0542053, 83.8655
13, 0.00000, 2356.44, -6.27208, 2523.25, -123.081, 2303.96, 115.225, 0, 0, 0.476553, -6.27636, 0.51033, -123.081, 0.465931, 115.223, 0.0582947, 86.6475
14, 0.00000, 2363.14, -5.90521, 2509.16, -123.265, 2321.29, 115.261, 0, 0, 0.477934, -5.90622, 0.507471, -123.265, 0.469458, 115.26, 0.0490405, 86.1621
15, 0.00000, 2347.35, -6.07656, 2491.84, -123.668, 2307.74, 114.952, 0, 0, 0.474756, -6.07445, 0.503964, -123.668, 0.466755, 114.953, 0.0466738, 84.823
16, 0.00000, 2354.74, -5.95868, 2497.23, -123.525, 2315.56, 115.084, 0, 0, 0.476232, -5.95966, 0.505057, -123.525, 0.468303, 115.083, 0.0465037, 85.2928
17, 0.00000, 2353.47, -5.82808, 2503.48, -123.075, 2306.28, 115.464, 0, 0, 39.6562, 174.174, 37.2817, 56.9249, 40.4668, -64.5348, 2.12675, 36.6579
18, 0.00000, 2365.65, -6.05043, 2545.66, -122.251, 2300.58, 115.88, 0, 0, 44.3885, 173.947, 41.2473, 57.7461, 45.6428, -64.1199, 2.66857, 34.2475
19, 0.00000, 2356.16, -6.59962, 2575.57, -121.855, 2276.94, 115.986, 0, 0, 46.5423, 173.402, 42.5801, 58.1455, 48.1642, -64.0152, 3.2003, 33.799
20, 0.00000, 2356.48, -6.67705, 2585.66, -121.677, 2273.75, 116.092, 0, 0, 49.508, 173.325, 45.1213, 58.3229, 51.3094, -63.9076, 3.49055, 33.4955
21, 0.00000, 2336.92, -7.25694, 2599.08, -121.685, 2263.97, 115.987, 0, 0, 46.929, 172.742, 42.1938, 58.3153, 48.4413, -64.0131, 3.59772, 28.3722
22, 0.00000, 2375.94, -6.63094, 2579.06, -121.811, 2313.55, 115.897, 0, 0, 0.48053, -6.63215, 0.521626, -121.809, 0.467898, 115.897, 0.0778929, 88.54
23, 0.00000, 2402.5, -5.62789, 2563, -121.481, 2339.71, 116.434, 0, 0, 0.485884, -5.62687, 0.518358, -121.483, 0.473237, 116.437, 0.065981, 91.8614
24, 0.00000, 2418.34, -3.99501, 2537.67, -121.155, 2386.97, 117.278, 0, 0, 0.489101, -3.99451, 0.513234, -121.156, 0.482764, 117.278, 0.0442159, 91.4595
