hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 511.583, 196.314, 634.961, 51.8263, 698.402, 230.918, 0, 0
2, 0.00000, 401.934, 99.4807, 480.508, -20.4396, 545.075, 107.568, 0, 0
3, 0.00000, 383.373, 78.7767, 448.167, -33.3289, 512.856, 78.8373, 0, 0
4, 0.00000, 399.044, 84.7374, 457.46, -23.438, 521.935, 81.2395, 0, 0
5, 0.00000, 504.22, 173.089, 593.851, 48.0908, 657.287, 188.212, 0, 0
6, 0.00000, 699.211, 353.506, 865.83, 185.507, 928.011, 413.803, 0, 0
7, 0.00000, 899.597, 521.841, 1118.96, 328.271, 1176.92, 615.034, 0, 0
8, 0.00000, 991.823, 554.164, 1154.95, 391.972, 1213.85, 614.336, 0, 0
9, 0.00000, 1321.34, 820.359, 1523.24, 642.284, 1576.51, 906.171, 0, 0
10, 0.00000, 1327.55, 827.172, 1532.39, 647.723, 1585.38, 914.848, 0, 0
11, 0.00000, 1430.53, 934.164, 1672.1, 732.649, 1725.83, 1042.61, 0, 0
12, 0.00000, 1444.75, 948.012, 1688.61, 744.792, 1742.68, 1057.59, 0, 0
13, 0.00000, 1275.74, 819.238, 1536.66, 607.441, 1589.62, 939.299, 0, 0
14, 0.00000, 1262.78, 785.293, 1485.8, 592.255, 1541.47, 881.908, 0, 0
15, 0.00000, 1346.11, 846.908, 1560.58, 659.292, 1615.83, 938.838, 0, 0
16, 0.00000, 1309.97, 816.995, 1523.26, 629.475, 1579.01, 907.945, 0, 0
17, 0.00000, 1267.17, 854.243, 1500.9, 658.582, 1553.48, 958.824, 0, 0
18, 0.00000, 1166.95, 822.604, 1464.67, 594.53, 1513.33, 966.399, 0, 0
19, 0.00000, 1162.73, 869.345, 1526.76, 604.085, 1574.47, 1051.97, 0, 0
20, 0.00000, 1144.07, 872.181, 1525.67, 596.705, 1573.44, 1064.92, 0, 0
21, 0.00000, 1197.79, 947.011, 1631.92, 640.394, 1680.39, 1169.67, 0, 0
22, 0.00000, 1107.05, 761.536, 1480.24, 488.047, 1530.49, 947.981, 0, 0
23, 0.00000, 931.974, 589.698, 1230.64, 350.933, 1288.08, 728.968, 0, 0
24, 0.00000, 663.811, 329.953, 843.202, 154.452, 905.495, 397.56, 0, 0
